rank	int_encoding	date_encoding	timestamp_encoding	string_encoding	baseline_encoded_bytes	pre_compression	snappy_compression	zstd_compression	zstd_compression_no_encoding	pre_compression_result_file	snappy_result_file	zstd_result_file	zstd_no_encoding_result_file	pre_compression_column_stats_tsv	snappy_column_stats_tsv	zstd_column_stats_tsv	zstd_no_encoding_column_stats_tsv
1	plain	plain	plain	rle-dict	825621935	encoded_bytes=476656260 post_encoding_ratio=1.732112	compressed_bytes=107523527 post_compression_ratio=7.678524 codec_ratio=4.421847	compressed_bytes=74994244 post_compression_ratio=11.009137 codec_ratio=6.339213	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
2	plain	rle-dict	plain	rle-dict	825621935	encoded_bytes=472710213 post_encoding_ratio=1.746571	compressed_bytes=107323777 post_compression_ratio=7.692815 codec_ratio=4.392837	compressed_bytes=74995337 post_compression_ratio=11.008977 codec_ratio=6.285803	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
3	plain	rle-dict	rle-dict	rle-dict	825621935	encoded_bytes=470646188 post_encoding_ratio=1.754231	compressed_bytes=111042946 post_compression_ratio=7.435159 codec_ratio=4.227215	compressed_bytes=79525235 post_compression_ratio=10.381886 codec_ratio=5.901898	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
4	plain	plain	rle-dict	rle-dict	825621935	encoded_bytes=474644770 post_encoding_ratio=1.739452	compressed_bytes=111242239 post_compression_ratio=7.421839 codec_ratio=4.255595	compressed_bytes=79529029 post_compression_ratio=10.381391 codec_ratio=5.951867	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
5	rle-dict	rle-dict	plain	rle-dict	825621935	encoded_bytes=197065811 post_encoding_ratio=4.189575	compressed_bytes=98749045 post_compression_ratio=8.360809 codec_ratio=1.991827	compressed_bytes=81715131 post_compression_ratio=10.103660 codec_ratio=2.405532	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
6	rle-dict	plain	plain	rle-dict	825621935	encoded_bytes=201068221 post_encoding_ratio=4.106178	compressed_bytes=98959902 post_compression_ratio=8.342995 codec_ratio=2.028185	compressed_bytes=81726084 post_compression_ratio=10.102306 codec_ratio=2.454317	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
7	rle-dict	plain	rle-dict	rle-dict	825621935	encoded_bytes=199057141 post_encoding_ratio=4.147663	compressed_bytes=102683434 post_compression_ratio=8.040459 codec_ratio=1.934318	compressed_bytes=86376239 post_compression_ratio=9.558438 codec_ratio=2.298841	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
8	rle-dict	rle-dict	rle-dict	rle-dict	825621935	encoded_bytes=195070303 post_encoding_ratio=4.232433	compressed_bytes=102485767 post_compression_ratio=8.055967 codec_ratio=1.899190	compressed_bytes=86384156 post_compression_ratio=9.557562 codec_ratio=2.252212	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
9	plain	plain	plain	plain	825621935	encoded_bytes=825621935 post_encoding_ratio=1.000000	compressed_bytes=134316393 post_compression_ratio=6.146844 codec_ratio=6.145757	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
10	plain	rle-dict	plain	plain	825621935	encoded_bytes=822183283 post_encoding_ratio=1.004182	compressed_bytes=134119447 post_compression_ratio=6.155870 codec_ratio=6.124987	compressed_bytes=86813070 post_compression_ratio=9.510341 codec_ratio=9.462213	compressed_bytes=86812277 post_compression_ratio=9.510428 codec_ratio=9.508359	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/results/configs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-snappy-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib-dictpage-1mib/1000000_rows/tsvs/2026-07-03_rows-1000000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
