rank	experiment	compression	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_encoding_ratio	post_compression_ratio	codec_ratio	elapsed_ms	result_file	column_stats_tsv	output_dir
1	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict	none	rle-dict	rle-dict	rle-dict	rle-dict	7711890	8847066	1637808	1637808	5.401772		1.000000	254	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict
2	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict	none	rle-dict	plain	rle-dict	rle-dict	7711890	8847066	1677785	1677785	5.273063		1.000000	257	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict
3	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain	none	rle-dict	rle-dict	plain	rle-dict	7711890	8847066	1705743	1705743	5.186635		1.000000	246	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain
4	rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain	none	rle-dict	plain	plain	rle-dict	7711890	8847066	1745720	1745720	5.067861		1.000000	256	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain
5	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict	none	rle-dict	rle-dict	rle-dict	delta-byte-array	7711890	8847066	2109856	2109856	4.193208		1.000000	270	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-rle-dict
6	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict	none	rle-dict	plain	rle-dict	delta-byte-array	7711890	8847066	2149833	2149833	4.115234		1.000000	263	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-rle-dict
7	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain	none	rle-dict	rle-dict	plain	delta-byte-array	7711890	8847066	2177791	2177791	4.062404		1.000000	253	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-rle-dict-ts-plain
8	rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain	none	rle-dict	plain	plain	delta-byte-array	7711890	8847066	2217768	2217768	3.989176		1.000000	262	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-rle-dict-str-delta-byte-array-date-plain-ts-plain
9	rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict	none	plain	rle-dict	rle-dict	rle-dict	7711890	8847066	4434910	4434910	1.994869		1.000000	205	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict
10	rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict	none	plain	plain	rle-dict	rle-dict	7711890	8847066	4474887	4474887	1.977048		1.000000	206	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict
