rank	experiment	compression	int_encoding	date_encoding	timestamp_encoding	string_encoding	physical_bytes	baseline_encoded_bytes	encoded_bytes	compressed_bytes	post_encoding_ratio	post_compression_ratio	codec_ratio	elapsed_ms	result_file	column_stats_tsv	output_dir
1	rows-10000-comp-none-int-plain-str-plain-date-plain-ts-plain	none	plain	plain	plain	plain	7711890	8847066	8847066	8847066	1.000000		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-plain-date-plain-ts-plain
2	rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain	none	plain	plain	plain	rle-dict	7711890	8847066	4542822	4542822	1.947482		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain
3	rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain	none	plain	plain	plain	delta-byte-array	7711890	8847066	5014870	5014870	1.764167		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-plain
4	rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain	none	plain	plain	plain	delta-length-byte-array	7711890	8847066	7813356	7813356	1.132300		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-plain
5	rows-10000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict	none	plain	plain	rle-dict	plain	7711890	8847066	8779131	8779131	1.007738		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-plain-date-plain-ts-rle-dict
6	rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict	none	plain	plain	rle-dict	rle-dict	7711890	8847066	4474887	4474887	1.977048		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict
7	rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict	none	plain	plain	rle-dict	delta-byte-array	7711890	8847066	4946935	4946935	1.788393		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-byte-array-date-plain-ts-rle-dict
8	rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict	none	plain	plain	rle-dict	delta-length-byte-array	7711890	8847066	7745421	7745421	1.142232		1.000000	4	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-delta-length-byte-array-date-plain-ts-rle-dict
9	rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain	none	plain	rle-dict	plain	plain	7711890	8847066	8807089	8807089	1.004539		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain
10	rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain	none	plain	rle-dict	plain	rle-dict	7711890	8847066	4502845	4502845	1.964772		1.000000	3	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/parquet/rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain
