rank	int_encoding	date_encoding	timestamp_encoding	string_encoding	baseline_encoded_bytes	pre_compression	snappy_compression	zstd_compression	zstd_compression_no_encoding	pre_compression_result_file	snappy_result_file	zstd_result_file	zstd_no_encoding_result_file	pre_compression_column_stats_tsv	snappy_column_stats_tsv	zstd_column_stats_tsv	zstd_no_encoding_column_stats_tsv
1	plain	plain	plain	rle-dict	8847066	encoded_bytes=4542822 post_encoding_ratio=1.947482	compressed_bytes=950487 post_compression_ratio=9.307930 codec_ratio=4.779393	compressed_bytes=636536 post_compression_ratio=13.898768 codec_ratio=7.136625	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
2	plain	rle-dict	plain	rle-dict	8847066	encoded_bytes=4502845 post_encoding_ratio=1.964772	compressed_bytes=948506 post_compression_ratio=9.327370 codec_ratio=4.747229	compressed_bytes=636556 post_compression_ratio=13.898331 codec_ratio=7.073602	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
3	plain	plain	rle-dict	rle-dict	8847066	encoded_bytes=4474887 post_encoding_ratio=1.977048	compressed_bytes=979821 post_compression_ratio=9.029268 codec_ratio=4.566975	compressed_bytes=682115 post_compression_ratio=12.970051 codec_ratio=6.560162	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
4	plain	rle-dict	rle-dict	rle-dict	8847066	encoded_bytes=4434910 post_encoding_ratio=1.994869	compressed_bytes=977840 post_compression_ratio=9.047560 codec_ratio=4.535345	compressed_bytes=682135 post_compression_ratio=12.969670 codec_ratio=6.501367	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
5	rle-dict	plain	plain	rle-dict	8847066	encoded_bytes=1745720 post_encoding_ratio=5.067861	compressed_bytes=849332 post_compression_ratio=10.416499 codec_ratio=2.055387	compressed_bytes=706202 post_compression_ratio=12.527671 codec_ratio=2.471981	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
6	rle-dict	rle-dict	plain	rle-dict	8847066	encoded_bytes=1705743 post_encoding_ratio=5.186635	compressed_bytes=847351 post_compression_ratio=10.440852 codec_ratio=2.013015	compressed_bytes=706222 post_compression_ratio=12.527316 codec_ratio=2.415307	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
7	rle-dict	plain	rle-dict	rle-dict	8847066	encoded_bytes=1677785 post_encoding_ratio=5.273063	compressed_bytes=878666 post_compression_ratio=10.068747 codec_ratio=1.909455	compressed_bytes=751781 post_compression_ratio=11.768143 codec_ratio=2.231746	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-plain-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
8	rle-dict	rle-dict	rle-dict	rle-dict	8847066	encoded_bytes=1637808 post_encoding_ratio=5.401772	compressed_bytes=876685 post_compression_ratio=10.091499 codec_ratio=1.868170	compressed_bytes=751801 post_compression_ratio=11.767830 codec_ratio=2.178514	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-rle-dict-str-rle-dict-date-rle-dict-ts-rle-dict_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
9	plain	plain	plain	plain	8847066	encoded_bytes=8847066 post_encoding_ratio=1.000000	compressed_bytes=1274794 post_compression_ratio=6.939997 codec_ratio=6.939926	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
10	plain	rle-dict	plain	plain	8847066	encoded_bytes=8807089 post_encoding_ratio=1.004539	compressed_bytes=1272813 post_compression_ratio=6.950798 codec_ratio=6.919320	compressed_bytes=760879 post_compression_ratio=11.627428 codec_ratio=11.574705	compressed_bytes=760859 post_compression_ratio=11.627734 codec_ratio=11.627549	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/results/configs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain.md	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-none-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-snappy-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-rle-dict-ts-plain_columns.tsv	encoding_experiment/page-256kib-rgsize-10mib-file-10mib/10000_rows/tsvs/2026-07-03_rows-10000-comp-zstd-3-int-plain-str-plain-date-plain-ts-plain_columns.tsv
